,Location,Accident_Type,Accident_Count,Year_Column,Date,Accident_Category
76,Total,Serious acc. invol. mat.damage in the nearer sense,4835,2022,2022-05-01,Material Damage
77,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,143,2021,2021-03-01,Intoxication
78,Inside built-up areas,Other accidents involving material damage,110352,2022,2022-02-01,Other Material Damage
79,On motorways/freeways,Other accidents involving material damage,8985,2011,2011-01-01,Other Material Damage
80,On motorways/freeways,Other accidents involving material damage,11372,2019,2019-03-01,Other Material Damage
81,Inside built-up areas,Other accidents involving material damage,135610,2016,2016-07-01,Other Material Damage
82,Total,Other accidents involving intoxication,1356,2013,2013-10-01,Intoxication
83,Outside built-up areas (excl. motorways/freeways),Total,49856,2019,2019-10-01,Total
84,Outside built-up areas (excl. motorways/freeways),Total,41641,2021,2021-08-01,Total
85,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,3451,2017,2017-09-01,Material Damage
86,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,152,2020,2020-01-01,Intoxication
87,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1637,2011,2011-09-01,Material Damage
88,Inside built-up areas,Other accidents involving material damage,142216,2019,2019-04-01,Other Material Damage
89,On motorways/freeways,Other accidents involving material damage,9289,2013,2013-12-01,Other Material Damage
90,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1994,2021,2021-12-01,Material Damage
91,Total,Other accidents involving material damage,164880,2022,2022-07-01,Other Material Damage
92,On motorways/freeways,Other accidents involving intoxication,60,2020,2020-12-01,Intoxication
93,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1407,2014,2014-07-01,Material Damage
94,On motorways/freeways,Other accidents involving intoxication,47,2012,2012-05-01,Intoxication
95,Total,Serious acc. invol. mat.damage in the nearer sense,6384,2013,2013-05-01,Material Damage
96,On motorways/freeways,Personal injury accidents,1660,2017,2017-03-01,Personal Injury
97,Inside built-up areas,Personal injury accidents,15213,2017,2017-04-01,Personal Injury
98,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,33947,2017,2017-07-01,Other Material Damage
99,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,33966,2020,2020-01-01,Other Material Damage
100,On motorways/freeways,Other accidents involving material damage,11499,2012,2012-05-01,Other Material Damage
101,On motorways/freeways,Other accidents involving material damage,11072,2022,2022-05-01,Other Material Damage
102,Inside built-up areas,Other accidents involving material damage,133096,2015,2015-03-01,Other Material Damage
103,Inside built-up areas,Personal injury accidents,20621,2016,2016-08-01,Personal Injury
104,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,876,2023,2023-01-01,Material Damage
105,On motorways/freeways,Personal injury accidents,1883,2016,2016-07-01,Personal Injury
106,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,2958,2023,2023-02-01,Material Damage
107,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,157,2018,2018-09-01,Intoxication
108,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,29385,2023,2023-02-01,Other Material Damage
109,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,6563,2016,2016-10-01,Personal Injury
110,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,32388,2013,2013-02-01,Other Material Damage
111,Total,Other accidents involving intoxication,1226,2024,2024-09-01,Intoxication
112,Outside built-up areas (excl. motorways/freeways),Total,37440,2020,2020-06-01,Total
113,On motorways/freeways,Total,9737,2021,2021-03-01,Total
114,On motorways/freeways,Other accidents involving intoxication,54,2014,2014-01-01,Intoxication
115,Inside built-up areas,Other accidents involving intoxication,1110,2011,2011-04-01,Intoxication
116,Total,Other accidents involving material damage,186804,2018,2018-07-01,Other Material Damage
117,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,3709,2014,2014-10-01,Material Damage
118,Inside built-up areas,Other accidents involving material damage,105064,2011,2011-02-01,Other Material Damage
119,Outside built-up areas (excl. motorways/freeways),Total,46685,2023,2023-05-01,Total
120,Outside built-up areas (excl. motorways/freeways),Total,41626,2022,2022-10-01,Total
121,Total,Other accidents involving material damage,165780,2012,2012-07-01,Other Material Damage
122,Total,Other accidents involving intoxication,1306,2020,2020-10-01,Intoxication
123,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,163,2011,2011-11-01,Intoxication
124,Inside built-up areas,Other accidents involving material damage,135021,2019,2019-08-01,Other Material Damage
125,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,41611,2019,2019-10-01,Other Material Damage
126,On motorways/freeways,Total,14294,2024,2024-09-01,Total
127,Total,Personal injury accidents,29421,2018,2018-09-01,Personal Injury
128,On motorways/freeways,Other accidents involving material damage,10546,2011,2011-09-01,Other Material Damage
129,Total,Serious acc. invol. mat.damage in the nearer sense,5955,2018,2018-10-01,Material Damage
130,Inside built-up areas,Other accidents involving material damage,143719,2017,2017-10-01,Other Material Damage
131,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1175,2023,2023-05-01,Material Damage
132,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,7450,2017,2017-07-01,Personal Injury
133,On motorways/freeways,Total,11677,2013,2013-12-01,Total
134,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,5806,2016,2016-04-01,Personal Injury
135,On motorways/freeways,Personal injury accidents,1658,2023,2023-06-01,Personal Injury
136,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1209,2018,2018-08-01,Material Damage
137,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,809,2018,2018-10-01,Material Damage
138,On motorways/freeways,Personal injury accidents,1456,2023,2023-12-01,Personal Injury
139,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,151,2020,2020-05-01,Intoxication
140,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,2071,2024,2024-01-01,Material Damage
141,Total,Other accidents involving material damage,146217,2020,2020-12-01,Other Material Damage
142,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,28573,2014,2014-06-01,Other Material Damage
143,Total,Personal injury accidents,28671,2016,2016-05-01,Personal Injury
144,On motorways/freeways,Other accidents involving intoxication,93,2021,2021-10-01,Intoxication
145,On motorways/freeways,Other accidents involving material damage,11002,2023,2023-12-01,Other Material Damage
146,On motorways/freeways,Other accidents involving material damage,13039,2019,2019-07-01,Other Material Damage
147,Total,Serious acc. invol. mat.damage in the nearer sense,5475,2015,2015-02-01,Material Damage
148,Total,Other accidents involving intoxication,1297,2021,2021-11-01,Intoxication
149,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,32654,2017,2017-03-01,Other Material Damage
150,Total,Serious acc. invol. mat.damage in the nearer sense,5559,2019,2019-05-01,Material Damage
151,On motorways/freeways,Other accidents involving intoxication,64,2016,2016-09-01,Intoxication
152,Total,Total,211794,2017,2017-01-01,Total
153,On motorways/freeways,Personal injury accidents,1404,2012,2012-03-01,Personal Injury
154,Inside built-up areas,Total,158688,2019,2019-08-01,Total
155,On motorways/freeways,Other accidents involving material damage,8523,2015,2015-02-01,Other Material Damage
156,Inside built-up areas,Other accidents involving material damage,127623,2022,2022-06-01,Other Material Damage
157,Inside built-up areas,Other accidents involving material damage,126141,2012,2012-06-01,Other Material Damage
158,Total,Other accidents involving intoxication,1428,2016,2016-08-01,Intoxication
